Arnold Palmer Tournament Golf		(2p)	|8wy,3bt?		|		|		|			|
Art of Fighting						(2p)	|8wy,4bt		|		|		|			|
Art of Fighting 2					(2p)	|8wy,3bt		|		|		|			|
Art of Fighting 3					(2p)	|8wy,4bt		|		|		|			|
Asterix								(2p)	|8wy,2bt		|		|		|			|
Asteroids									|2bt,3bt		|	y	| 0.78	| 			| asteroib
Asteroids Deluxe							|2bt,3bt		|	y	| 0.78	| 			| astdelu1, astdelux
Astro Blaster								|2bt,2bt		|		|		|			|
Asura Buster - Eternal Warriors				|?				|		|		|			|
Asylum								(3p)	|8wy,2bt		|		|		|			|
Athena										|8wy,2bt		|	y	| 0.78	| 			| athena
Avengers   							(2p)	|8wy,2bt		|		|		|			|
Avenging Spirit								|8wy,2bt		|		| 		| 			| 
Azumanga Daioh Puzzle				(2p)	|8wy,3bt		|		|		|			|
B. Rap Boys							(3p)	|8wy,2bt		|		|		|			|
Back Street Soccer					(2p)	|?				|		|		|			|
Bad Dudes									|?				|		|		|			|
Bad Dudes Vs Dragonninja   			(2p)	|8wy,2bt		|		|		|			|
Bagman										|4wy,1bt		|	y	| 0.78	| 			| bagman, bagmanmc, bagmans, bagmans2
Baku Baku Animal					(2p)	|?				|		|		|			|
Bang Bang Ball						(2p)	|8wy,1bt		|		|		|			|
Bang Bead							(2p)	|?				|		|		|			|
Bank Panic									|2lr,3bt		|	y	| 0.78	| 			| bankp
Baseball Stars 2					(2p)	|8wy,4bt		|	y	| 0.78	| 			| bstars2
Baseball Stars Professional			(2p)	|8wy,4bt		|	y	| 0.78	| 			| bstars
Batman										|8wy,2bt		|	y	| 0.78	| 			| batman
Batman Forever						(2p)	|8wy,3bt		|	y	| 0.78	| 			| batmanfr
Batsugun Special Version			(2p)	|8wy,2bt		|		|		|			|
Battle Arena Toshinden 2			(2p)	|8wy,6bt		|		|		|			|
Battle Bakraid: Unlimited Version	(2p)	|8wy,3bt		|		|		|			|
Battle Chopper								|?				|		|		|			|
Battle Circuit						(4p)	|8wy,2bt		|		|		|			|
Battle Fantasia								|?				|		|		|			|
Battle Flip Shot							|?				|		|		|			|
Battle Garegga						(2p)	|8wy,3bt		|		|		|			|
Battle Rangers						(2p)	|8wy,3bt		|		|		|			|
Battletoads							(3p)	|8wy,2bt		|	y	| 0.78	| 			| btoads
Bay Route							(2p)	|8wy,2bt		|		|		|			|
Bells & Whistles					(2p)	|8wy,2bt		|		|		|			|
Berzerk										|9opt,1bt		|	y	| 0.78	| 			| berzerk, berzerk1
Big Bang							(2p)	|8wy,2bt		|		|		|			|
Big Fight   								|?				|		|		|			|
Biomechanical Toy							|8wy,3bt		|		|		|			|
Bionic Commando								|8wy,2bt		|	y	| 0.78	| 			| bionicc, bionicc2
Black Heart							(2p)	|8wy,2bt		|		|		|			|
Blade Master   						(2p)	|8wy,2bt		|		|		|			|
Blades of Steel 					(2p)	|2trk, 2x3bt	|	y	| 0.78	| 			| bladestl, bladstle
Blazeon								(2p)	|8wy,2bt		|		|		|			|
Blazing Star						(2p)	|8wy,2bt		|		|		|			|
Block Hole							(2p)	|2lr,1bt		|		|		|			|
Block Out									|?				|		|		|			|
Blood Bros.							(2p)	|8wy,3bt		|		|		|			|
Blood Warrior						(2p)	|8wy,4bt		|		|		|			|
Bloody Roar									|?				|		|		|			|
Bloody Roar 2								|?				|		|		|			|
Bloody Roar 3						(2p)	|8wy,3bt		|		|		|			|
Bloody Wolf							(2p)	|8wy,3bt		|		|		|			|
Bomb Jack									|8wy,1bt		|	y	| 0.78	| 			| bombjack
Bomb Jack Twin								|8wy,1bt		|		| 		| 			|
Bonanza Bros.								|?				|	y	| 0.78	| 			| bnzabros
